id|memberevent_id|tag_id
1791|823|120
1792|823|1052
1793|823|71357
1794|824|1256
1795|825|1256
1796|826|1256
1797|827|1256
1798|828|1256
1799|829|1256
1800|830|1256
1801|831|1264
1802|831|1067
1803|831|726
1804|831|1071
1805|832|1256
1806|832|1257
1807|832|1258
1808|832|726
1809|832|120
1810|833|1256
1811|833|1257
1812|833|1258
1813|833|726
1814|833|120
1815|834|1256
1816|834|1257
1817|834|1258
1818|834|726
1819|834|120
1820|835|1256
1821|835|1147
1822|835|726
1823|835|438
1824|836|1028
1825|836|1256
1826|836|1257
1827|836|433
1828|836|726
1829|837|1256
1830|837|425
1831|837|1259
1832|837|429
1833|837|1016
1834|838|1256
1835|838|425
1836|838|1259
1837|838|429
1838|838|1016
1839|839|1256
1840|840|1029
1841|840|1143
1842|841|433
1843|841|510
1844|841|1030
1845|842|433
1846|842|510
1847|842|1030
1848|843|1254
1849|843|1257
1850|843|1258
1851|843|1259
1852|843|726
1853|843|1084
1854|844|1073
1855|844|1258
1856|844|1003
1857|844|1071
1858|845|425
1859|845|726
1860|846|71357
1861|846|1254
1862|847|433
1863|847|1254
1864|849|1071
1865|850|1067
1866|850|726
1867|851|1067
1868|852|1067
1869|852|726
1870|853|71139
1871|853|1254
1872|854|1067
1873|854|726
1874|855|1254
1875|857|71139
1876|857|1254
1877|858|432
1878|859|1257
1879|859|1254
1880|860|1257
1881|860|1254
1882|861|1071
1938|892|1257
1884|864|726
1885|865|726
1886|867|726
1887|868|726
1888|869|726
1889|870|1254
1890|870|1256
1891|870|425
1892|870|1259
1893|870|120
1894|870|1016
1895|871|1032
1896|871|433
1897|871|726
1898|871|510
1899|872|433
1900|872|1030
1901|872|726
1902|872|1032
1903|872|510
1904|873|433
1905|873|1030
1906|873|726
1907|873|1032
1908|873|510
1909|874|1257
1910|874|1254
1911|874|431
1912|875|1254
1913|875|1073
1914|875|510
1915|875|1071
1941|895|1257
1944|899|1257
1918|877|71360
1919|877|71357
1920|878|71357
1921|878|1071
1948|903|1257
1923|880|425
1924|880|2331
1925|880|2329
1950|905|71357
1927|882|71139
1928|883|71139
1929|884|71139
1930|885|1069
1931|885|1030
1932|885|1071
1933|886|1257
1951|905|1254
1954|909|71357
1955|909|1254
1958|911|71357
1959|911|1254
1964|912|71359
1965|913|1257
1966|914|1257
1967|915|1257
1968|916|1257
1969|917|1257
1970|918|1257
1971|919|1257
1972|920|1257
1973|921|1257
1974|924|1257
1975|925|1257
1976|926|71359
1977|926|1042
1978|926|71139
1979|926|120
1980|926|71357
1981|926|71358
1982|926|1071
1983|928|1257
1984|930|1257
1985|931|1257
1986|932|1257
1987|933|1257
1988|934|1257
1989|935|1257
1990|936|1257
1991|937|1257
1992|938|1257
1993|939|1257
1994|940|1257
1995|941|1257
1996|942|1254
1997|943|1257
1998|944|71360
1999|944|1017
2000|944|71139
2001|944|71357
2002|945|1257
2003|946|1254
2004|946|1257
2005|946|71374
2006|947|1254
2007|947|1257
2008|947|71374
2009|948|1254
2010|948|1257
2011|948|71374
2012|950|1254
2013|950|1257
2014|950|71374
2015|951|1254
2016|951|1257
2017|951|71374
2018|952|71139
2019|952|429
2020|952|438
2021|952|71359
2027|954|71360
2028|954|71139
2029|954|1017
2030|954|71357
2031|954|1071
2037|956|71360
2038|956|1009
2039|956|71139
2040|956|1129
2041|956|71357
2042|956|1071
2043|957|1009
2044|957|1060
2045|957|71358
2046|957|1071
2061|962|1009
2062|962|71139
2063|962|5226
2064|962|71357
2065|962|71358
2066|962|1071
2067|963|1257
2068|964|1257
2069|965|1026
2070|965|71139
2071|965|71358
2072|966|1055
2075|969|1067
2076|970|433
2077|970|71139
2078|970|1071
2079|971|433
2080|971|71139
2081|971|1071
2082|972|433
2083|972|71139
2084|972|1071
2088|974|1258
2089|974|476
2090|974|726
2091|975|432
2092|975|726
2093|975|4253
2094|975|426
2095|975|1085
2096|976|433
2097|976|71139
2098|976|1071
2099|977|433
2100|977|71139
2101|977|1071
2102|978|433
2103|978|71139
2104|978|1071
2105|979|433
2106|979|71139
2107|979|1071
2108|980|1055
2109|981|71360
2110|981|71139
2111|981|71357
2112|982|71360
2113|982|71139
2114|982|71357
2115|983|1017
2116|983|425
2117|983|726
2118|984|71360
2119|984|1017
2120|984|425
2121|984|726
2122|985|71360
2123|985|1017
2124|985|425
2125|985|726
2126|986|71360
2127|986|1017
2128|986|425
2129|986|726
2130|987|71360
2131|987|1017
2132|987|425
2133|987|726
2134|988|1257
2135|988|71374
2136|989|1257
2137|989|1009
2138|989|71374
2139|989|71357
2140|990|1257
2141|990|1009
2142|990|71374
2143|990|71357
2144|991|1257
2145|991|1009
2146|991|71374
2147|991|71357
2148|992|1257
2149|992|1009
2150|992|71374
2151|992|71357
2152|993|1257
2153|993|1009
2154|993|71374
2155|993|71357
2156|994|1264
2157|994|1073
2158|994|426
2159|994|1067
2160|994|588
2161|995|1264
2162|995|426
2163|995|1067
2164|995|429
2165|996|1264
2166|996|432
2167|996|426
2168|996|1067
2169|996|429
2170|997|1264
2171|997|1073
2172|997|432
2173|997|426
2174|997|1067
2175|997|429
2176|998|1264
2177|998|1073
2178|998|426
2179|998|1067
2180|998|429
2181|999|71360
2182|1000|1017
2183|1000|425
2184|1000|726
2185|1001|1067
2186|1001|588
2187|1001|1142
2188|1001|1071
2189|1002|71360
2190|1002|71139
2191|1002|1079
2192|1002|71386
2193|1002|429
2194|1002|69038
