id|name|ivector_connect_id|iata_code|location_id|latitude|longitude
407|(CTU) Shuangliu International, Chengdu, China|340|CTU|d7eb646b-53ca-4c7f-89a9-6609cf47d658|30.578000|103.947000
3285|Grand Junction, CO, United States of America (GJT-Grand Junction Regional)|3009|GJT||0.000000|0.000000
1666|(VDB) Leirin, Fagernes, Norway|1543|VDB|204e736f-efc6-4e61-97c8-1e2bf5626562|61.011000|9.293000
3286|Memmingen, Germany (FMM-Allgaeu)|3010|FMM||0.000000|0.000000
3287|Sarajevo, Bosnia and Herzegovina (SJJ-Sarajevo Intl.)|3011|SJJ||0.000000|0.000000
2665|(FLO) Florence Regional, Florence, SC, United States|2440|FLO|6e74b589-a327-453a-a9be-89c5ef41523b|34.185000|-79.724000
2296|(LAY) Ladysmith, South Africa|775|LAY|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-28.582000|29.750000
1341|(MCG) McGrath, AK, United States|2559|MCG|96ad791f-5202-44d1-ab61-1ef1fd1ab80f|62.953000|-155.606000
2364|(MOC) Montes Claros, Brazil|938|MOC|d460867d-9615-42cf-9726-c9559fdd4bbc|-16.707000|-43.819000
2181|(SKZ) Sukkur, Pakistan|2188|SKZ|5e4e239c-f27c-4584-ad58-9f5ce7eebb16|27.722000|68.792000
673|(ULD) Ulundi, South Africa|1512|ULD|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-28.321000|31.416000
2648|(WSZ) Westport, New Zealand|1601|WSZ|ddd52726-f68f-460d-baf0-75d68b183581|-41.738000|171.581000
944|(INH) Inhambane, Mozambique|1971|INH|497c1274-6163-4642-87bd-845c54125d69|-23.876000|35.408000
1935|(PRC) Prescott Municipal, Prescott, AZ, United States|2671|PRC|1128e0f1-cdeb-42c9-a3a6-caf7d8d94c60|34.654000|-112.419000
876|(MSE) Kent International, Manston, England, UK|948|MSE|6a582305-0df7-4cc8-b8b6-95463e8822de|51.342000|1.346000
3094|(CXR) Cam Ranh, Nha Trang, Vietnam|2820|CXR|0f916d52-084b-4411-9184-c838e6899189|12.006224|109.215152
1307|(SIJ) Siglufjordur, Iceland|2186|SIJ|b5eef731-2046-4c7d-bdc0-acb465e8a1df|66.133000|-18.917000
