id|name|longitude|latitude|country|postcode|location_id|see_venue_id
8403|Royal Hospital Kilmainham|-6.300033|53.342920|Ireland|DUBLIN|f6ccc634-0019-431c-9ab9-63bd4c0e40a2|20895
8404|Backyard Comedy Club|-0.055827|51.526462|United Kingdom|E2 0EL|27d9b687-31e6-4c4f-892a-508c51c365a1|8660
7981|Thunder Studios|-118.218358|33.817397|United States|90810|a3a2eab3-de54-4388-894e-364e26911c3b|21680
7978|Théâtre de l'Almendra|1.098492|49.442367|France|76000|4e9cea11-b383-442b-8363-38b95162a531|21622
8192|Borger|6.808245|52.926365|Netherlands|9531 TJ|f559690a-7d36-43a3-83bd-d34c6880b1e8|21662
8195|Grand Theatre Blackpool|-3.055819|53.817295|United Kingdom|FY1 1HT||
8201|Fotomatón|-3.710512|40.430454|Spain|28015|9cbbdced-21fa-4322-a91b-277d6642ed08|21834
6661|Cafe Roux - Noordhoek|18.377808|-34.097402|South Africa|7979||
8197|Amphithéâtre De Rodez|2.573510|44.350924|France|12000|4e9cea11-b383-442b-8363-38b95162a531|19976
8126|Le forest|3.092611|50.703890|France|59910|4e9cea11-b383-442b-8363-38b95162a531|21748
8125|La Marbrerie|2.436840|48.858262|France|93100|1c4656ab-4662-44d7-87fb-e42639e90829|20250
8091|Sala Madchester|-2.464742|36.837922|Spain|04001|9cbbdced-21fa-4322-a91b-277d6642ed08|21704
8090|Sala Khitai|-3.695290|40.456373|Spain|28020|9cbbdced-21fa-4322-a91b-277d6642ed08|21696
8127|Rudy's Neapolitan Pizza|-1.900643|52.479705|United Kingdom|B2 5RS|27d9b687-31e6-4c4f-892a-508c51c365a1|21740
8076|Inverurie Town Hall|-2.374106|57.284566|United Kingdom|AB51 3SN|27d9b687-31e6-4c4f-892a-508c51c365a1|19333
8113|Radisson Blu Edwardian Hotel|-0.127156|51.514223|United Kingdom|WC2H 9HD|27d9b687-31e6-4c4f-892a-508c51c365a1|21721
7592|The Cannon|-0.722481|52.086947|United Kingdom|MK16 8AQ|27d9b687-31e6-4c4f-892a-508c51c365a1|8680
8216|Harlequin Theatre|-0.167818|51.240958|United Kingdom|RH1 1NN|27d9b687-31e6-4c4f-892a-508c51c365a1|4043
8848|plan d'eau de Valogne|4.338009|47.088389|France|71540|4e9cea11-b383-442b-8363-38b95162a531|21944
8199|The Buccaneer|-3.650816|50.789224|United Kingdom|EX17 3AZ|27d9b687-31e6-4c4f-892a-508c51c365a1|21826
8200|La lata de bombillas|-0.897314|41.661285|Spain|50003|9cbbdced-21fa-4322-a91b-277d6642ed08|21833
8198|Kutxa Beltza|-2.926959|43.263761|Spain|48001|9cbbdced-21fa-4322-a91b-277d6642ed08|21779
8128|La Pomme D'eve|2.347943|48.847129|United Kingdom|75005|4e9cea11-b383-442b-8363-38b95162a531|21725
8204|Tim McLoones Supper Club|-74.012082|40.220391|United States|07712|a3a2eab3-de54-4388-894e-364e26911c3b|21835
8205|Native|||United Kingdom|TX 78702|27d9b687-31e6-4c4f-892a-508c51c365a1|21836
7375|Chase Center Experience San Francisco|-122.387124|37.770371|United States|94158||
8207|South Side Ballroom at Gilley's|-96.800168|32.768975|United States|TX 75215|fa930b77-547d-43ed-9fb8-cdce4e51be2a|
8212|Keiths Shack|-1.437343|52.882167|United Kingdom|DE24 0BR|27d9b687-31e6-4c4f-892a-508c51c365a1|21847
8264|The Royal Hospital, Kilmainham|-6.300033|53.342920|Ireland|8|dda14307-e68e-4e06-bb5c-079d39ca61f3|
8217|Hot Rocks|-1.876659|50.716332|United Kingdom|BH2 5AA|27d9b687-31e6-4c4f-892a-508c51c365a1|21851
7376|Park Theater|-115.174473|36.104168|United States|NV 89109||
7854|St John The Baptist Church|-0.244157|52.572336|United Kingdom|PE1 1XB|27d9b687-31e6-4c4f-892a-508c51c365a1|20930
7997|Le Grand Rex*|||France||4e9cea11-b383-442b-8363-38b95162a531|8049
7984|Volks Club|-0.132370|50.819211|United Kingdom|BN2 1PS|27d9b687-31e6-4c4f-892a-508c51c365a1|3855
7986|60  Million Postcards|-1.879558|50.718142|United Kingdom|BH2 5AF|27d9b687-31e6-4c4f-892a-508c51c365a1|21486
7591|Loco Club|-0.386607|39.472862|Spain|46008|9cbbdced-21fa-4322-a91b-277d6642ed08|18916
7988|Craft Taproom|-2.933073|53.391916|United Kingdom|L15 3JR|27d9b687-31e6-4c4f-892a-508c51c365a1|21602
8406|OMNIA Dayclub Los Cabos|-109.691537|23.046232|Mexico|23406|347287e0-1b8b-4f80-be4a-6c08d4e925bc|
7989|Colorsound Studios|-3.220956|55.946096|United Kingdom|EH12 5LA|27d9b687-31e6-4c4f-892a-508c51c365a1|21627
7471|The Olde Boars Head|-2.196938|53.553076|United Kingdom|M24 6UE|27d9b687-31e6-4c4f-892a-508c51c365a1|19404
7991|Eglise De La Madeleine|2.311111|48.874167|France|75008|4e9cea11-b383-442b-8363-38b95162a531|20475
7990|St. Botolph's Church|-0.386091|50.813248|United Kingdom|BN11 4LY|27d9b687-31e6-4c4f-892a-508c51c365a1|21616
7987|The Lion Inn|-0.956196|54.388387|United Kingdom|YO62 7LQ|27d9b687-31e6-4c4f-892a-508c51c365a1|14914
7992|Star &  Garter|-3.597156|55.976587|United Kingdom|EH49 7AB|27d9b687-31e6-4c4f-892a-508c51c365a1|21646
8849|Queen's Hall|-4.924241|55.947522|United Kingdom|PA237HH|27d9b687-31e6-4c4f-892a-508c51c365a1|9387
7983|Halle Tony Garnier*|||France||4e9cea11-b383-442b-8363-38b95162a531|13859
5649|The Bull|-2.612948|52.725955|United Kingdom|SY4 4QS|27d9b687-31e6-4c4f-892a-508c51c365a1|17702
7985|Ballie Ballerson|-0.136423|51.515657|United Kingdom|W1F8SP|27d9b687-31e6-4c4f-892a-508c51c365a1|21661
8928|Sandwell Valley Country Park|-1.982506|52.523940|United Kingdom|B71 4BG|27d9b687-31e6-4c4f-892a-508c51c365a1|11405
7996|Salle Victor Hugo|4.852600|45.769200|France|69006|4e9cea11-b383-442b-8363-38b95162a531|19880
