id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code
f2812921-b669-4878-916c-12b6cc2f72b4|Padstow||2||UKFEIN
11e34396-1735-4f79-b97f-19ec24b59747|Santa Ana||3||28D4I5
40796c24-2db6-46ff-b49e-17f2f3d87aba|Si Kan||3||71510Y
f862eea3-6c0a-467a-a2a2-2dcd686fbae9|Belgrano||3||RWL5OS
30eb3111-7868-4d43-bc0d-f1febc22eb95|Xuanwu||3||8BWNHG
ef3737fb-c3b2-422c-8cc5-d4b0f97823ba|Pom Prap Sattru Phai||3||UGGN9V
fcf1c3ba-ac4e-44d1-b985-a18bb5e598df|Województwo Mazowieckie|858787|||
e66f071a-9d50-42eb-96f7-3ade12fdec3c|Al Qusais||3||GBK9JG
05cacad8-9b1d-40e2-9ce0-25f0bd2957bb|Nanhai||3||5ZVMGL
f4eb89f6-c4ce-4816-989e-851d8c6d464e|Heimersdorf||3||0Y2BZM
77f963dd-ff9b-47c0-ad60-d25f1775fd8d|Ruggell|3042047|||
22ee957f-90b4-4051-9d9d-209098290637|Akita|2113124|||
839fef82-3e95-4daa-ac30-c5deb1a55d23|Departamento del Vichada|3666082|||
944e8911-c5c8-4ba3-8ad3-891bf9b74f7d|Fells Point||3||NMPZJT
0f559e78-bb35-44c9-a7f9-22fd7bd77f88|South Atlantic Ocean|3358844|||
03175d96-6f7e-4d35-b824-fde9ba716996|San Pablo||3||LI21QM
ed9ed1c5-6727-41ca-914c-e3315e62c569|Bang Phlat||3||XBT1TQ
d3910996-c35e-4830-a07b-0ab52180126f|Tal-Pietà|8299740|||
cd44e3a9-a093-4a75-b80c-9aebef8ac463|Jegunovce|863858|||
aa43e1cf-3a3e-422f-8b2c-88c0f670da75|Kokneses Novads|7628357|||
b0f01c0f-85b0-4ad3-8f42-3898b65a7e93|Trade Center||3||NPR4SO
d05eb864-ba70-4356-80c7-11cbf88c2633|Provincia de Kié-Ntem|2566981|||
ae3acb83-2109-4008-88d2-47878028d0fc|Judeţul Bistriţa-Năsăud|684647|||
b60145e5-99f4-4535-801c-e19787ad539f|Capitol View||3||OEH21C
e98758e6-1af6-4d8d-8e69-f381518442c8|Costa Adeje||3||A02ZH5
e255b81a-be7b-4488-9141-5bd8b73d4620|Poll||3||GX6POS
33b19b24-c138-47b6-bf55-732d1dac68fa|Western Suburbs||2||JMC60A
3d1b0bf2-fa71-4a03-b672-8bea8b316c03|Southern Illinois||2||
7e43f429-b47d-4c05-a325-7858e7ddc783|Kavango East Region|8693188|||
