id|name|benefit_code|restaurant_id
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7707
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7842
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7843
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7844
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7845
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|2983
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7664
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7668
596|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF648|7901
597|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF649|7902
598|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF650|7904
599|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF651|7905
600|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF652|7907
601|Access to club without membership, VIP entrance, no need to queue, meet and greet with Club Director Vincent Legrand, VIP placement in the club at the Platinum area with no extra charge|REF653|7910
602|Complimentary welcome champagne on arrival  during lunch and dinner every day for up to six guests|REF640|5889
602|Complimentary welcome champagne on arrival  during lunch and dinner every day for up to six guests|REF640|7909
603|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF641|7911
604|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF642|7912
605|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF645|6631
606|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF643|7900
607|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF644|7903
608|Access to club without membership, VIP entrance, no need to queue, meet and greet with Club Director Vincent Legrand, VIP placement in the club at the Platinum area with no extra charge|REF646|7906
609|Access to the best tables, welcome from restaurant director with a special surprise and access to the Prestige menu during lunch and dinner every day for up to six guests|REF647|7908
610|15% off food bill|4116|7967
611|Enjoy 15% off dinner set menus and complimentary cocktails at Alibi's mixologist|4198|7969
614|A complimentary box of nine pieces of Chakeli with spend of $2000.|4320|8114
795|Book through us for priority reservations|REF668|4648
617|Complimentary Champagne On Arrival|4357|1611
618|No minimum charge for private room reservation, subject to availability, no corkage charge providing a minimum of one bottle is purchased from the restaurant’s own list for consumption during the same meal, meet-and-greet with the chef, subject to availability and welcome drink on arrival.|4367|8246
619|Complimentary cocktail|4372|8205
621|Complimentary welcome drink|4363|8208
795|Book through us for priority reservations|REF668|4649
877|Book through us for priority reservations|REF693|7305
877|Book through us for priority reservations|REF693|4238
629|Complimentary welcome drink|1779|3054
632|Complimentary welcome drink and 15% discount off 10,000 and 15,000 JPY course|4229|7506
633|A complimentary welcome aperitif for up to 6 guests|4230|8207
635|Complimentary welcome drink|4233|8237
636|Complimentary welcome drink|4235|7507
637|A Complimentary welcome drink and dessert per guest when ordering a set menu|4236|7502
638|A Complimentary welcome drink and appetizer per guest when ordering a set menu|4237|7508
639|A Complimentary welcome drink and appetizer per guest when ordering a set menu|4238|7503
